rand129	-0.94044162	0.33391277	-0.00094651	-0.06380375	0.0262202895
rand130	0.45041858	-0.60562563	0.65369037	0.05504181	0.0279300727
rand131	-0.41377442	-0.33108603	0.07135277	0.84503346	0.1529338916
rand132	-0.61819519	-0.62032858	0.42357082	-0.23154897	0.0235712274
rand133	-0.70449344	-0.00037021	0.45770433	0.54239801	0.0343996537
rand134	0.19601053	-0.93186545	-0.13533996	0.27365990	0.0164455065
rand135	-0.81475077	0.43734523	0.27906717	-0.25890510	0.0221689226
rand136	0.10579747	-0.21282612	0.61692925	0.75027344	0.0976579933
rand137	0.69460957	0.39987885	-0.00430996	0.59799320	0.0303520350
rand138	0.36616215	-0.21572606	0.85930922	-0.28456142	0.0093373432
rand139	-0.68240793	-0.17711813	-0.26752436	-0.65679471	0.0470323221
rand140	-0.21332172	0.33353225	-0.89199573	0.21815978	0.0144611895
rand141	0.14025979	-0.82932245	-0.51961983	0.15015559	0.0279418894
rand142	0.18912160	0.84203872	0.48705568	-0.13409171	0.0255158682
rand143	0.51186583	0.70487853	-0.46761066	0.14993300	0.0272471994
rand144	0.09092927	0.90026840	-0.42204242	-0.05593625	0.0256596170
rand145	-0.15721768	0.66095861	0.73324933	-0.02759962	0.0272727569
rand146	-0.29772863	0.56712332	-0.72794963	0.24457748	0.0134897309
rand147	0.39731102	0.21735950	0.49905704	0.73881044	0.0870655710
rand148	-0.19240568	0.58004586	-0.76017108	-0.22060551	0.0287269419
rand149	0.36547585	0.39044631	0.84230911	0.06704063	0.0270842659
